subject,predicate,object
ZmVPP1,regulates,Drought Tolerance
ZmNF-YB2,regulates,Nitrogen Use Efficiency
ZmCCT,regulates,Flowering Time
ZmDREB1A,regulates,Cold Tolerance
ZmEREB180,regulates,Salt Tolerance
ZmWRKY33,regulates,Disease Resistance
ZmMYB31,regulates,Anthocyanin Production
ZmHDZ10,regulates,Leaf Architecture
ZmTCP14,regulates,Plant Height
ZmNAC48,regulates,Senescence
ZmARF25,regulates,Root Development
ZmGRF1,regulates,Leaf Size
ZmSPL14,regulates,Tassel Architecture
ZmKN1,regulates,Shoot Apical Meristem
ZmGA20ox1,regulates,Stem Elongation
